epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.12462,3.83706,4.93359,3.08127,0,0,0,0,3.75889,7.838,3.44173,0,0,0
2,11.9421,3.1715,5.04974,2.81112,0,0,0,0,3.63559,7.6096,3.37186,1.58448e-05,1.58448e-05,1.58448e-05
3,17.3708,3.51206,5.13385,2.90964,0,0,0,0,3.51793,6.87229,3.26451,3.00393e-05,3.00393e-05,3.00393e-05
4,22.963,3.57914,5.54809,3.41624,0.00169,0.25,0.00143,0.00014,3.01367,6.29278,2.98565,4.25835e-05,4.25835e-05,4.25835e-05
5,29.4068,3.33747,5.53214,2.87576,0,0,0,0,2.55318,6.11111,2.73663,5.34774e-05,5.34774e-05,5.34774e-05
6,35.1874,3.36452,5.03594,2.69841,0.00168,0.25,0.00192,0.00019,2.42097,6.33828,2.63357,6.27209e-05,6.27209e-05,6.27209e-05
7,40.7759,3.19676,4.83819,2.55583,0.00162,0.25,0.00194,0.00019,2.38568,6.22017,2.55113,7.03141e-05,7.03141e-05,7.03141e-05
8,46.4916,2.98948,4.31529,2.35831,0.00322,0.5,0.00658,0.00066,2.46071,5.85627,2.53183,7.62569e-05,7.62569e-05,7.62569e-05
9,52.3597,3.14032,4.45456,2.55148,0.00485,0.75,0.01975,0.00279,2.43703,5.72969,2.49169,8.05494e-05,8.05494e-05,8.05494e-05
10,59.3693,2.26213,4.23443,2.05095,0.00479,0.75,0.06902,0.01055,2.25233,5.79999,2.38333,8.31916e-05,8.31916e-05,8.31916e-05
11,65.591,2.14167,5.6683,2.28038,0.00474,0.75,0.08907,0.02353,2.03994,5.63713,2.16705,8.41835e-05,8.41835e-05,8.41835e-05
12,71.2052,1.83748,4.79626,1.91811,0.00466,0.75,0.08616,0.03422,1.88482,5.34711,2.01533,8.3525e-05,8.3525e-05,8.3525e-05
13,76.9988,1.86477,4.89597,2.05608,0.00625,1,0.09212,0.03203,1.87218,5.19215,1.907,8.12162e-05,8.12162e-05,8.12162e-05
14,82.7544,2.23104,4.89802,2.31743,0.00639,1,0.09019,0.02909,1.91095,5.27086,1.84003,7.72571e-05,7.72571e-05,7.72571e-05
15,88.9176,1.80022,4.54015,1.73788,0.00626,1,0.10494,0.03647,1.82176,5.51259,1.78853,7.16477e-05,7.16477e-05,7.16477e-05
16,94.5468,1.85605,4.40095,1.89083,0.00625,1,0.10183,0.03922,1.7154,5.58138,1.76463,6.43879e-05,6.43879e-05,6.43879e-05
17,100.707,1.64519,4.49866,1.72635,0.00627,1,0.08876,0.03814,1.75434,5.42225,1.73048,5.54778e-05,5.54778e-05,5.54778e-05
18,106.825,1.74036,4.11262,1.58908,0.00627,1,0.08876,0.03814,1.75434,5.42225,1.73048,4.49173e-05,4.49173e-05,4.49173e-05
19,112.885,2.46641,5.11429,2.04157,0.00611,1,0.08376,0.03179,1.75378,5.23267,1.68737,3.27065e-05,3.27065e-05,3.27065e-05
20,118.203,1.85681,4.6445,1.85843,0.00611,1,0.08376,0.03179,1.75378,5.23267,1.68737,1.88454e-05,1.88454e-05,1.88454e-05
